row ID,row m/z,row retention time,170510_PMA_LP_EP_EPO120BLANK1.mzXML Peak area,170510_PMA_LP_EP_EPO120EBSU.mzXML Peak area,170510_PMA_LP_EP_EPO120EPL.mzXML Peak area,170803_LP_EP_EPO120AGAR_pos.mzXML Peak area,Unnamed: 7
2960,238.1805419921875,14.316416666666667,0.0,3142298.4024687367,0.0,0.0,
5410,386.2024230957031,5.257949999999999,0.0,0.0,3892417.5529999854,0.0,
2654,798.5674438476562,27.72883333333333,0.0,6580430.05374995,0.0,0.0,
1225,336.32656097412115,24.6825,2880148.840625013,73490765.04125032,23002805.369374696,432323.1350195445,
3164,169.0496622721354,4.378755555555555,20809.429420409993,3732604.330499968,190447.67853906396,0.0,
2144,593.3686218261719,32.950916666666664,0.0,13311093.383749785,196604.93057616893,0.0,
511,394.2228469848633,10.672933333333333,5238317.384124842,0.0,45714.9276562508,0.0,
5411,362.1595764160156,8.736133333333333,0.0,0.0,4173120.5869374345,0.0,
4287,222.0795135498047,2.3435,0.0,0.0,22529255.14581248,0.0,
3981,413.1573181152344,10.280308333333334,0.0,55656.40240429834,24361426.383374754,0.0,
3777,474.29241943359375,6.6071333333333335,0.0,0.0,28126265.758875165,0.0,
1327,651.278564453125,16.608016666666668,0.0,38326813.35674968,0.0,0.0,
3471,744.5846150716147,27.3805,856686.7024999731,2134414.9012498343,315575450.77500266,0.0,
2655,671.6472778320312,27.03533333333333,0.0,4623492.652500062,598882.5992969215,0.0,
2961,307.18833923339844,10.78405,1384501.7730937472,5635031.8058750015,0.0,0.0,
512,270.11837768554693,7.723916666666668,12541594.710374964,0.0,0.0,0.0,
1226,165.05470275878906,5.565629166666667,63331.6097883301,81987635.38550006,855173.6891738258,61534.22718823365,
1429,1048.826761886902,36.12211111111111,0.0,53369691.07437544,6504062.743125048,14868.992231445007,
5412,301.14174652099615,20.132791666666673,479003.47445315315,1747033.3390624302,5537911.01624992,2022473.1496093029,
4288,201.1122636797667,4.5820124999999985,246575.1409238263,68261.05500390619,12958601.975750005,58475.220392578005,
205,476.306568145752,6.162845833333333,26705039.29562505,284032.43610351643,879168.5443046928,319464.7362226576,
1328,1224.93310546875,35.123083333333334,0.0,68602693.19374977,14013802.280624636,0.0,
3778,315.1339492797852,5.9962,0.0,252872.2283872079,37665259.48550011,0.0,
2145,195.94891357421875,1.0893708333333332,9269377.796203123,23826309.698999994,26111963.419187494,14014194.741843762,
3982,257.0997047433472,5.1699166666666665,48379.703665039226,4674.367110351275,28979000.34774998,4868.383456542987,
3472,758.5958658854165,31.763722222222228,0.0,4865618.7653125,4784.886840820313,2446806.4343750626,
1022,652.5011444091798,26.53345833333333,2083326.883544921,272896265.23062193,71696105.82437597,15293.080278320896,
5413,312.1289367675781,2.3435,0.0,0.0,5267482.795874995,0.0,
1227,802.5885416666665,25.97894444444445,226216.15229492102,57801403.23750026,15658707.47749977,0.0,
4289,207.06523132342025,6.482216666666668,9124.598306152224,501759.72681250214,12014369.139531227,0.0,
2963,429.15403747558594,11.000341666666667,0.0,3507303.28168764,6617392.534250068,0.0,
3473,316.06634521484375,4.602733333333333,0.0,2882896.912281225,0.0,0.0,
1023,301.285587310791,14.347770833333335,19626.01527050816,232540968.99268836,23517728.37856247,5450179.54737492,
207,658.511962890625,23.32758333333333,46355831.21312487,74565250.1118751,67566005.74624997,5928317.600703043,
208,299.9127540588379,41.30775,72689343.94749907,80143401.34374979,76879018.96124879,70647987.52250168,
3167,263.10269165039057,4.420066666666666,0.0,2813248.752875003,768573.2743750047,0.0,
2656,671.4888153161621,29.41520833333333,371738.76817383,8543819.525625039,15004.829746094398,1279328.7620703185,
513,460.2755889892578,6.805891666666668,7364160.99475002,190279.94464013746,53818453.09356266,2494.966406250095,
5414,158.0812282562256,2.0712958333333336,19790.332978271468,57359.619014649375,5539101.186843746,4902.769146972628,
3779,371.1102676409912,10.26895,0.0,5817.2431171878015,40694133.54981211,0.0,
4290,366.3735046386719,29.634000000000004,18124.663046876434,232073.39624999661,13472833.19687479,0.0,
2146,1312.9837646484375,34.8715,0.0,13300180.990000008,2618727.819453185,0.0,
3983,638.2227783203125,11.812883333333335,0.0,0.0,23452851.93062507,0.0,
